Feature,Deviance_Reduction_%,Univariate_Rank,GBM_Importance,GBM_Rank,ExtraTrees_Importance,ExtraTrees_Rank,Average_Rank
Duration,,,0.4724759688860503,1.0,0.3617514691185088,1.0,1.0
SOA_Post_Lvl_Ind,100.00000000000492,1.0,0.06739187613403826,4.0,0.04147776671903926,5.0,3.3333333333333335
Observation_Year,95.15595405448394,11.0,0.21124274296504655,2.0,0.19702526215200397,2.0,5.0
Face_Amount_Band,99.99999999999983,4.0,0.03461978605838723,6.0,0.03597003203880335,6.0,5.333333333333333
Attained_Age,85.13929454090636,12.0,0.11667559584108708,3.0,0.1623056707053778,3.0,6.0
Age_Ind,99.99999999999902,5.0,0.020740852554935588,8.0,0.022190250350239964,8.0,7.0
Insurance_Plan,100.00000000000146,3.0,0.0037971447503071217,9.0,0.0024572858133206535,10.0,7.333333333333333
Issue_Age,79.03588561916972,13.0,0.0424050268441284,5.0,0.1348130835161933,4.0,7.333333333333333
Sex,99.99999999995926,9.0,0.028001109027268888,7.0,0.03477195327924901,7.0,7.666666666666667
Insurance_Plan_Group,100.0000000000015,2.0,0.002489436268495814,10.0,0.0011319791431419236,13.0,8.333333333333334
Face_Band_Group,99.99999999996557,8.0,0.0015519238227640246,11.0,0.0031661660253380977,9.0,9.333333333333334
Slct_Ult_Ind,99.99999999999291,6.0,0.0,16.0,0.001717434095296767,11.0,11.0
SOA_Antp_Lvl_TP,99.99999999970531,10.0,0.0002680604542029814,13.0,0.001137885343807127,12.0,11.666666666666666
SOA_Guar_Lvl_TP,99.99999999970531,10.0,0.0007243595171014483,12.0,0.0007569906564578278,14.0,12.0
Number_of_Pfd_Classes,99.99999999998394,7.0,2.7182847520882544e-05,15.0,0.0002319540751012728,15.0,12.333333333333334
Preferred_Indicator,99.99999999998394,7.0,7.837029716132713e-05,14.0,0.00022679611126267185,16.0,12.333333333333334
