Attained_Age_Band,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
"[0, 5)",185,170.16796821626718,11937481,14407512.993598852,2815203.607504119,186.70680510113215,0.9908583669448597,1.087161126381216,1.0971912461447837,0.8285594470956738,0.06571460746457902,0.06044606072636194,0.06632088869290033,0.009141633055140264,OK
"[5, 10)",321,325.52307916823406,20093055,26012244.545071583,5155606.061550361,314.415366478812,1.0209424672684746,0.9861051966582791,0.9658773420373016,0.7724460288378665,0.06226232108654766,0.06313963388241205,0.06098514175155249,0.020942467268474596,OK
"[10, 15)",603,550.2994383134745,30189357,38073506.82628618,5874101.457970087,616.6390406549641,0.977881645896962,1.095767064287834,1.1205518263743885,0.7929229408192334,0.10265399811605887,0.09368231758523991,0.1049758920691261,0.022118354103037974,OK
"[15, 20)",2428,2453.737307336484,116954159,152211399.60327867,6289964.181828011,2353.0425078250137,1.0318555622882783,0.9895109768843098,0.9589626814531448,0.7683666223740628,0.38601173708025255,0.3901035421513911,0.3740947388258679,0.03185556228827835,OK
"[20, 25)",4131,3260.3955966121716,206014968,182047347.0180161,5445508.10481817,4192.691204163374,0.9852860129307605,1.2670241624336815,1.2859455486076403,1.131655975077802,0.7586068959010277,0.5987311989724858,0.7699357201311835,0.014713987069239542,OK
"[25, 30)",4855,3169.4001809242113,217760227,159782361.14406958,5152963.101377014,4848.117098523908,1.001419706111923,1.5318355912329948,1.5296639180193947,1.3628552328354568,0.9421763564933368,0.6150636281632329,0.9408406392873949,0.0014197061119229915,OK
"[30, 35)",5864,3604.3611974478067,210339049,144843539.8033021,4926812.179617099,5886.522163865351,0.9961739439284534,1.6269179693067968,1.6331665561247046,1.4521810864719336,1.1902219500593458,0.731580800331611,1.1947932962045325,0.003826056071546624,OK
"[35, 40)",7181,5253.500174666174,193701310,158932561.72013074,4719899.649384318,7162.1009550568615,1.002638757127515,1.366898212857927,1.3633007931729948,1.2187641594873089,1.5214306518014038,1.1130533623424517,1.517426531725333,0.0026387571275150457,OK
"[40, 45)",8374,6702.693639974517,167252767,148301137.89359003,4315572.922486945,8445.778483352475,0.9915012590616771,1.2493484634383254,1.2600573645470368,1.1277915286126008,1.940414436369736,1.553141091661114,1.9570468707282107,0.008498740938322924,OK
"[45, 50)",11850,8004.549488208365,150778987,113066224.6150949,4187025.7720044223,11776.047075780785,1.0062799446829072,1.4804081125935236,1.4711692510775625,1.3335457826887611,2.830171258852114,1.9117507089946593,2.8125088587986715,0.006279944682907157,OK
"[50, 55)",17091,10800.37023490259,142302578,97460657.70558864,4195361.730240225,17134.395150839147,0.9974673660519017,1.5824457521621385,1.586463683945524,1.46010278762812,4.073784598073591,2.5743597166016396,4.084128199800793,0.0025326339480983284,OK
"[55, 60)",23608,16639.467985978,162388179,117836934.87258358,4283454.105667574,23580.04285496633,1.001185627405583,1.4187953617203595,1.417115191112908,1.3780753816754434,5.51143993086409,3.8845911676657843,5.504913154962213,0.001185627405583034,OK
"[60, 65)",29085,25065.98299763299,176864814,155361327.17315507,3964994.6828986374,29094.947936876844,0.9996580871394434,1.1603374981442591,1.1607343681524205,1.1384095206838611,7.335444893645407,6.321820078534967,7.337953834431571,0.00034191286055662573,OK
"[65, 70)",31302,31548.80604708945,182408017,181883816.77530816,3029145.7446017507,31228.13549840351,1.0023653189797472,0.992177008324148,0.9898357310825865,1.002882060834139,10.333606448545233,10.41508356054266,10.309221850435971,0.002365318979747233,OK
"[70, 75)",32342,36010.825568911954,169719079,192452098.27619743,2080683.1367899901,32427.689797987237,0.9973575114810505,0.8981188153575895,0.9004983719668447,0.8818769996283846,15.543933349647933,17.307212680383557,15.585116841969324,0.0026424885189495484,OK
"[75, 80)",32438,36906.91263948123,166166589,192713572.95754078,1233377.828154033,32476.834812479134,0.9988042303782568,0.878913939967425,0.8799661767897917,0.8622464232792275,26.300132254322403,29.923444217185995,26.331618804179765,0.0011957696217431701,OK
"[80, 85)",40225,43863.17579001114,186506325,201504782.7038723,831864.7650529465,40181.70728586912,1.0010774234609516,0.9170562613289015,0.9160692668089848,0.9255677334174557,48.35521552284975,52.72873384319786,48.30317255150437,0.001077423460951632,OK
"[85, 90)",47967,53689.59163284808,185287712,205370555.07922292,561759.7735336255,48006.897613518275,0.9991689191449222,0.8934133887256666,0.8941565050784805,0.9022116725960261,85.38703242895838,95.57393420167057,85.45805498236642,0.0008310808550777704,OK
"[90, 95)",33623,39776.09655635513,109886325,124677340.39277455,249159.63036291464,33560.28834826041,1.001868626725993,0.8453066768973329,0.843730060357026,0.8813656487523875,134.94561679605263,159.64101607639674,134.69392412959522,0.0018686267259930833,OK
"[95, 100)",0,0.0,0,0.0,0.0,0.0,,,,,,,,,Thin
