Age_Ind,Sex,Series_Key,x_col,x_value,Overall_Direction,Credible_Points,ExpDth_VBT2015_Cnt,Predicted_Rate_per_1000,Actual_Rate_per_1000,Expected_Rate_per_1000,Delta_from_Prior,Monotonicity_Flag
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,0,Up,18,3402.315817605941,0.8645779796290154,0.7987033217546041,0.7034535193321504,,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,1,Up,18,1088.710153956339,0.8552500809475103,0.8290535857978856,0.7441047461105283,-0.009327898681505076,Review
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,2,Up,18,722.244519379649,0.8392222540402443,0.8213445878282974,0.7305561909866066,-0.016027826907266007,Review
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,3,Up,18,629.0774637282684,0.877660269341342,0.8442160239125394,0.7696772103792223,0.038438015301097694,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,4,Up,18,590.5296092457086,0.9330951494307058,0.9427235896211541,0.8211005796544127,0.055434880089363814,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,5,Up,18,575.0489248668957,0.9911733862554281,1.0261212950361183,0.8741776999904394,0.05807823682472224,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,6,Up,18,601.0630594950021,1.0915228059045294,1.0640451246044837,0.9749363079809631,0.10034941964910138,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,7,Up,18,604.1378707285678,1.1723567821900076,1.2324623575293119,1.0457544725152659,0.08083397628547817,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,8,Up,18,651.1294443813845,1.2943172855980754,1.396415850439614,1.1657018933616723,0.12196050340806774,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,9,Up,18,684.4463242473997,1.4046979418887413,1.5336752745550293,1.267775850553516,0.11038065629066596,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,10,Up,18,749.118674563346,1.5531751035547938,1.7473759463336282,1.4105516733634913,0.14847716166605252,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,11,Up,18,787.0562416460075,1.6714353682562175,1.8436139973704524,1.513063507629156,0.1182602647014237,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,12,Up,18,880.3520348111699,1.8570231780851234,1.9981256757958392,1.6979285757676748,0.18558780982890588,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,13,Up,18,938.777584409085,2.003912305327198,2.2442649213105867,1.8225480982716245,0.14688912724207448,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,14,Up,18,1092.0291985658107,2.2748280955856646,2.555138936493124,2.0995382430721476,0.2709157902584667,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,15,Up,18,1418.3435051599868,2.6357200589696568,2.837145660692035,2.452192029881406,0.3608919633839922,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,16,Up,18,2128.25338244677,3.025567162631896,3.2838924446561997,2.953911751027451,0.3898471036622393,OK
ALB,F,Age_Ind=ALB | Sex=F,Issue_Age_mod,17,Up,18,2517.7040553148363,3.4235641350065373,3.66471699714016,3.230627746947125,0.39799697237464127,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,0,Up,18,8335.368526360578,1.9646039147322802,1.792732844105667,1.4468521422280463,,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,1,Up,18,2229.2045030352333,1.7684069302863472,1.761777216856018,1.364614907977872,-0.19619698444593303,Review
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,2,Up,18,1541.7742266864934,1.7904726129407087,1.8140639547041706,1.3970414839779546,0.022065682654361485,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,3,Up,18,1325.3580165379901,1.8480820009055543,1.857939109695596,1.4510515576160956,0.057609387964845604,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,4,Up,18,1257.4356995757742,1.9708548124513803,2.1190974606616066,1.5619160597399027,0.12277281154582598,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,5,Up,18,1267.5008155193232,2.1325618465714045,2.3488981119998993,1.7032209797091937,0.16170703412002418,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,6,Up,18,1285.2968744030145,2.299234428678254,2.340654866994222,1.8524854584999244,0.16667258210684954,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,7,Up,18,1296.1127158672757,2.447468949324749,2.7294240715161586,1.974130159646387,0.14823452064649478,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,8,Up,18,1387.4608022261573,2.6788854932176585,2.9612908870120367,2.183142948840983,0.23141654389290967,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,9,Up,18,1514.338017300523,2.9392887610948657,3.1614810324358915,2.4155150950515534,0.26040326787720725,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,10,Up,18,1714.8421792018883,3.272305475870322,3.7931554296206382,2.7193406868654386,0.33301671477545636,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,11,Up,18,1850.0970867984868,3.5730960544592776,3.962408442534015,2.9958481063497793,0.3007905785889555,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,12,Up,18,2068.14941907763,3.9233649412354716,4.536499067245301,3.3187682739899462,0.35026888677619405,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,13,Up,18,2385.971995404672,4.33792074376694,5.065697500240248,3.714386101034014,0.4145558025314684,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,14,Up,18,2799.757384871927,4.808947191047269,5.470149610397648,4.163972748250438,0.4710264472803294,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,15,Up,18,3869.8686714558953,5.573375165434301,6.628879476526749,4.896524720952056,0.7644279743870319,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,16,Up,18,5373.178322888868,6.038583852114729,7.100992116849343,5.469451965776896,0.4652086866804277,OK
ALB,M,Age_Ind=ALB | Sex=M,Issue_Age_mod,17,Up,18,6849.580801503726,6.977706828648467,7.798969225564902,6.292069479263574,0.9391229765337377,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,0,Up,18,12532.339474907209,3.5300369793930573,3.103343275762186,3.374004635987012,,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,1,Up,18,4540.719487249502,2.5645913767559048,2.2596391761411008,2.4599347018116293,-0.9654456026371525,Review
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,2,Up,18,2274.272291740699,2.3633811655170343,1.9398898936629647,2.291863809966489,-0.2012102112388705,Review
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,3,Up,18,1754.7293129296058,2.3279974992256878,2.019910149693382,2.28966120746189,-0.03538366629134648,Review
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,4,Up,18,1575.1795380055294,2.394190453656196,2.160932983028154,2.3853240489608956,0.06619295443050843,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,5,Up,18,1687.150722271722,2.709819318612527,2.546228828690951,2.7484784436308507,0.3156288649563308,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,6,Up,18,1656.171998832882,2.82528079676492,2.5685324306909694,2.901726800685228,0.11546147815239305,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,7,Up,18,1680.58557286357,3.0258088446571723,2.8416100302987823,3.1418215925161483,0.2005280478922522,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,8,Up,18,1810.0064997028621,3.3538952867024845,3.2464892974672606,3.5334736798746365,0.32808644204531223,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,9,Up,18,1996.857665806939,3.764796003224552,3.8092622665387172,4.022503732420387,0.4109007165220677,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,10,Up,18,4170.976188242463,6.9578969564658,7.0979544859655075,7.905313523682484,3.1931009532412475,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,11,Up,18,3256.471863693347,6.013627483269649,6.248678274645406,6.735731541428221,-0.944269473196151,Review
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,12,Up,18,3176.2836151504694,6.126049125909577,6.573299515803188,6.843219780243258,0.11242164263992827,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,13,Up,18,3360.6394507395034,6.549199185115831,6.8248982022704245,7.3371791893253695,0.4231500592062538,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,14,Up,18,3761.187703664859,7.316851910734874,7.8641157652982985,8.241408614276098,0.7676527256190431,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,15,Up,18,4549.401467813749,8.532047913297054,9.256352010151394,9.680657798065173,1.2151960025621804,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,16,Up,18,6400.240022095242,11.018468378374024,12.490940735204685,12.675601523240337,2.4864204650769697,OK
ANB,F,Age_Ind=ANB | Sex=F,Issue_Age_mod,17,Up,18,6790.337869904598,10.998766871609815,12.268673512010993,12.622490660924802,-0.019701506764208787,Review
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,0,Up,18,19961.847096370595,5.070699421056231,4.829329260289785,4.372979463458072,,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,1,Up,18,8559.873579417246,4.28302700125438,3.6502618583548663,3.778664897724793,-0.7876724198018508,Review
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,2,Up,18,4905.883675086254,4.4938793237803445,3.720468302211919,4.083262798097836,0.2108523225259642,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,3,Up,18,3694.4431233549913,4.322950549132465,3.941871018454499,3.9074371551600646,-0.17092877464787914,Review
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,4,Up,18,3461.090728108813,4.591305449353398,4.042629016639046,4.214429459841281,0.2683549002209329,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,5,Up,18,3747.5482641700473,5.154469058093624,4.771857625185108,4.813665345929759,0.5631636087402256,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,6,Up,18,3641.338616799182,5.4060888093442925,4.987495218133849,5.105751739919046,0.2516197512506686,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,7,Up,18,3802.013124401736,5.881556848628481,5.555218098983455,5.6292676229342105,0.47546803928418857,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,8,Up,18,4100.606086040004,6.473680586815303,6.051465970604195,6.279017760253932,0.5921237381868218,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,9,Up,18,4451.487986868868,7.169945779507446,6.8094804232250565,7.057583306357409,0.6962651926921435,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,10,Up,18,15761.890381676361,18.51272394434308,17.63594322198933,20.0169801859627,11.342778164835632,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,11,Up,18,11578.248529852053,15.572297058675538,14.924388281345232,16.60085278868543,-2.9404268856675415,Review
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,12,Up,18,11323.297521666822,15.533577483396227,15.103110018747172,16.520190131833576,-0.0387195752793108,Review
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,13,Up,18,11960.807872376463,16.35199027719234,16.044153630713204,17.42337380169347,0.8184127937961119,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,14,Up,18,13395.906219932262,17.64524404484283,17.814815285493594,18.868247540313725,1.2932537676504907,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,15,Up,18,20510.041784714347,22.507487649239962,22.80060336511918,24.395708056512753,4.862243604397133,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,16,Up,18,22269.375513536448,23.296541009213787,24.85348327073611,25.233498302882214,0.7890533599738241,OK
ANB,M,Age_Ind=ANB | Sex=M,Issue_Age_mod,17,Up,18,25349.54887326864,24.03035349764484,25.078700531029185,26.02692805982938,0.7338124884310524,OK
